Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
21 Guns	Green Day		21st Century Breakdown		Alternative/Punk Rock	6339502	321	1	1	16	18	2009	13/09/2013 21:28	24/09/2013 23:49	128	48000		MPEG audio file			7	3/01/2014 23:36	1	28/11/2013 1:46	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Green Day\21st Century Breakdown\16 21 Guns.mp3
Radioactive	Imagine Dragons	Dan Reynolds, Wayne Sermon, Ben McKee, Alex Da Kid & Josh Mosser	Night Visions		Alternative	7550339	186	1	1	1	13	2012	13/09/2013 21:30	24/09/2013 23:49	320	48000		MPEG audio file			7	10/12/2013 2:35			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Imagine Dragons\Night Visions\01 Radioactive.mp3
Demons	Imagine Dragons	Dan Reynolds, Wayne Sermon, Ben McKee, Alex Da Kid & Josh Mosser	Night Visions		Alternative	7179806	177	1	1	4	13	2012	13/09/2013 22:11	24/09/2013 23:49	320	48000		MPEG audio file			7	10/12/2013 2:38			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Imagine Dragons\Night Visions\04 Demons.mp3
Numb	Linkin Park	Linkin Park	Meteora		Alt Metal	7512020	187			13		2003	13/09/2013 21:26	24/09/2013 23:49	320	44100		MPEG audio file			13	3/01/2014 23:40	2	7/11/2013 14:45	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Linkin Park\Meteora\13 Numb.mp3
Risingson	Massive Attack		Mezzanine			11989957	299			2			13/09/2013 21:29	24/09/2013 23:49	320	44100		MPEG audio file			18	3/01/2014 23:21	2	3/01/2014 23:16	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Massive Attack\Mezzanine\02 Risingson.mp3
Man next door	Massive Attack		Mezzanine			14277627	356			7			13/09/2013 21:29	24/09/2013 23:49	320	44100		MPEG audio file			17	3/01/2014 23:46			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Massive Attack\Mezzanine\07 Man next door.mp3
Come Alive	Netsky		2 Deluxe		Dance	10039890	249	1	2	4	15	2012	13/09/2013 21:30	24/09/2013 23:49	320	44100		MPEG audio file			3	10/12/2013 2:57			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Netsky\2 Deluxe\1-04 Come Alive.mp3
Crush	Pendulum		Immersion		Drum & Bass	10160775	253			5	15	2010	13/09/2013 21:23	24/09/2013 23:49	320	44100		MPEG audio file			7	22/11/2013 4:09			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Pendulum\Immersion\05 Crush.mp3
The Island, Pt. I (Dawn)	Pendulum		Immersion		House	12806147	320			8	15	2010	23/01/2012 18:24	24/09/2013 23:49	320	44100		MPEG audio file			7	22/11/2013 4:14			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Pendulum\Immersion\08 The Island, Pt. I (Dawn).mp3
Bohemian Rhapsody	Queen	Freddie Mercury/Queen	The Ultimate Best Of Queen		Rock	15156682	356			1		1994	8/03/2012 0:16	24/09/2013 23:49	320	44100		MPEG audio file		© ¤ @	4	10/12/2013 3:05	2	28/11/2013 0:54	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Queen\The Ultimate Best Of Queen\01 Bohemian Rhapsody.mp3
Killing In the Name	Rage Against the Machine	Rage Against the Machine	Rage Against the Machine		Alternative	12165841	313			2	10	1992	7/10/2013 21:17	1/11/2013 20:21	256	44100		Purchased AAC audio file			5	7/12/2013 11:21			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Rage Against the Machine\Rage Against the Machine\02 Killing In the Name.m4a
The Lion From The North	Sabaton		Carolus Rex		Power Metal	11323503	282			2		2012	13/09/2013 21:26	24/09/2013 23:49	320	44100		MPEG audio file			6	25/11/2013 22:19			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Sabaton\Carolus Rex\02 The Lion From The North.mp3
Bangarang (feat. Sirah)	Skrillex		Bangarang		Dance	8803565	215	1	1	2	8	2011	10/12/2012 0:17	24/09/2013 23:49	320	44100		MPEG audio file			8	10/12/2013 20:26	1	6/01/2014 1:58	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Skrillex\Bangarang\02 Bangarang (feat. Sirah).mp3
Chop Suey	System Of A Down	Daron Malakian/Serj Tankian	Toxicity		Alternative Metal	3362816	210			6		2001	22/09/2010 2:07	1/11/2013 20:20	128	44100		MPEG audio file		 00001987 00001F42 00007996 00005750 0002E65E 0002E647 00008000 00008000 00007530 00007530	3	3/01/2014 23:10			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\System of a Down\Toxicity\06 Chop Suey.mp3
Toxicity	System Of A Down	Daron Malakian/Serj Tankian/Shavo Odadjian	Toxicity		Alternative Metal	3502080	219			12		2001	22/09/2010 2:07	1/11/2013 20:20	128	44100		MPEG audio file			5	3/01/2014 23:13	2	3/01/2014 23:06	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\System of a Down\Toxicity\12 Toxicity.mp3
